## Thu Aug  8 11:06:32 2024
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_gus_hlw4 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_gus_hlw4 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_gus_hlw4/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
NC_003901.1_subset_6	192952.MM_1239	1.36e-245	673.0	arCOG01220@1|root,arCOG01220@2157|Archaea,2XYGI@28890|Euryarchaeota,2N9S5@224756|Methanomicrobia	224756|Methanomicrobia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	PrmA
NC_003901.1_subset_7	192952.MM_1240	0.0	1142.0	COG4058@1|root,arCOG04857@2157|Archaea,2XTF8@28890|Euryarchaeota,2N90K@224756|Methanomicrobia	224756|Methanomicrobia	H	Reduction of methyl-coenzyme M (2-(methylthio) ethanesulfonic acid) with 7-mercaptoheptanoylthreonine phosphate to methane and a heterodisulfide	mcrA	-	2.8.4.1	ko:K00399	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_alpha,MCR_alpha_N
NC_003901.1_subset_8	192952.MM_1241	1.44e-179	499.0	COG4057@1|root,arCOG04858@2157|Archaea,2XSVR@28890|Euryarchaeota,2N92T@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase gamma subunit	mcrG	-	2.8.4.1	ko:K00402	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_gamma
NC_003901.1_subset_9	192952.MM_1242	8.38e-137	388.0	COG4056@1|root,arCOG03225@2157|Archaea,2XW32@28890|Euryarchaeota,2N9IH@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase operon protein C	mcrC	-	-	ko:K03421	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_C
NC_003901.1_subset_10	192952.MM_1243	8.14e-115	329.0	COG4055@1|root,arCOG04859@2157|Archaea,2XZ5V@28890|Euryarchaeota,2NBJT@224756|Methanomicrobia	224756|Methanomicrobia	H	Methyl-coenzyme M reductase operon protein D	mcrD	-	-	ko:K03422	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_D
NC_003901.1_subset_11	192952.MM_1244	2.2e-308	841.0	COG4054@1|root,arCOG04860@2157|Archaea,2XTPD@28890|Euryarchaeota,2N9BX@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase, beta subunit	mcrB	-	2.8.4.1	ko:K00401	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_beta,MCR_beta_N
NC_003901.1_subset_12	192952.MM_1245	5.75e-306	833.0	COG1625@1|root,arCOG00950@2157|Archaea,2XTIR@28890|Euryarchaeota,2N94K@224756|Methanomicrobia	224756|Methanomicrobia	C	Radical SAM domain protein	-	-	-	-	-	-	-	-	-	-	-	-	Radical_SAM
NC_003901.1_subset_13	192952.MM_1246	0.0	1170.0	COG1933@1|root,arCOG04447@2157|Archaea,2XU5S@28890|Euryarchaeota,2N91E@224756|Methanomicrobia	224756|Methanomicrobia	L	Possesses two activities a DNA synthesis (polymerase) and an exonucleolytic activity that degrades single-stranded DNA in the 3'- to 5'-direction. Has a template-primer preference which is characteristic of a replicative DNA polymerase	polC	-	2.7.7.7	ko:K02322	ko00230,ko00240,ko01100,ko03030,map00230,map00240,map01100,map03030	M00264	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032	-	-	-	PolC_DP2
NC_003552.1_subset_1	192952.MM_1235	9.17e-152	432.0	COG1715@1|root,arCOG02781@2157|Archaea,2Y229@28890|Euryarchaeota,2NAA8@224756|Methanomicrobia	224756|Methanomicrobia	V	Mrr N-terminal domain	-	-	-	ko:K07448	-	-	-	-	ko00000,ko02048	-	-	-	Mrr_N,Mrr_cat
NC_003552.1_subset_2	269797.Mbar_A0889	3.14e-165	466.0	COG0281@1|root,arCOG01331@2157|Archaea,2XTRZ@28890|Euryarchaeota,2NAE5@224756|Methanomicrobia	224756|Methanomicrobia	O	Peptidase family M48	-	-	-	ko:K03799	-	M00743	-	-	ko00000,ko00002,ko01000,ko01002	-	-	-	Peptidase_M48
NC_003552.1_subset_3	192952.MM_1237	2.22e-151	426.0	COG0207@1|root,arCOG03214@2157|Archaea,2XYEP@28890|Euryarchaeota,2NBGJ@224756|Methanomicrobia	224756|Methanomicrobia	F	Belongs to the thymidylate synthase family. Archaeal- type ThyA subfamily	thyA	-	2.1.1.45	ko:K00560	ko00240,ko00670,ko01100,ko01523,map00240,map00670,map01100,map01523	M00053	R02101	RC00219,RC00332	ko00000,ko00001,ko00002,ko01000	-	-	-	Thymidylat_synt
NC_003552.1_subset_4	192952.MM_1238	7.74e-268	738.0	COG0128@1|root,arCOG04134@2157|Archaea,2XTC3@28890|Euryarchaeota,2N97U@224756|Methanomicrobia	224756|Methanomicrobia	E	Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate	aroA	-	2.5.1.19	ko:K00800	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R03460	RC00350	ko00000,ko00001,ko00002,ko01000	-	-	-	EPSP_synthase
NC_003552.1_subset_5	269797.Mbar_A0892	1.63e-212	589.0	arCOG01220@1|root,arCOG01220@2157|Archaea,2XYGI@28890|Euryarchaeota,2N9S5@224756|Methanomicrobia	224756|Methanomicrobia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	PrmA
NC_003552.1_subset_6	192952.MM_1240	0.0	1121.0	COG4058@1|root,arCOG04857@2157|Archaea,2XTF8@28890|Euryarchaeota,2N90K@224756|Methanomicrobia	224756|Methanomicrobia	H	Reduction of methyl-coenzyme M (2-(methylthio) ethanesulfonic acid) with 7-mercaptoheptanoylthreonine phosphate to methane and a heterodisulfide	mcrA	-	2.8.4.1	ko:K00399	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_alpha,MCR_alpha_N
NC_003552.1_subset_7	192952.MM_1241	7.04e-171	478.0	COG4057@1|root,arCOG04858@2157|Archaea,2XSVR@28890|Euryarchaeota,2N92T@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase gamma subunit	mcrG	-	2.8.4.1	ko:K00402	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_gamma
NC_003552.1_subset_8	269797.Mbar_A0895	7.18e-138	390.0	COG4056@1|root,arCOG03225@2157|Archaea,2XW32@28890|Euryarchaeota,2N9IH@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase operon protein C	mcrC	-	-	ko:K03421	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_C
NC_003552.1_subset_9	192952.MM_1243	8.65e-101	294.0	COG4055@1|root,arCOG04859@2157|Archaea,2XZ5V@28890|Euryarchaeota,2NBJT@224756|Methanomicrobia	224756|Methanomicrobia	H	Methyl-coenzyme M reductase operon protein D	mcrD	-	-	ko:K03422	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_D
NC_003552.1_subset_10	192952.MM_1244	1.73e-289	793.0	COG4054@1|root,arCOG04860@2157|Archaea,2XTPD@28890|Euryarchaeota,2N9BX@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase, beta subunit	mcrB	-	2.8.4.1	ko:K00401	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_beta,MCR_beta_N
NC_003552.1_subset_11	192952.MM_1245	4.19e-283	775.0	COG1625@1|root,arCOG00950@2157|Archaea,2XTIR@28890|Euryarchaeota,2N94K@224756|Methanomicrobia	224756|Methanomicrobia	C	Radical SAM domain protein	-	-	-	-	-	-	-	-	-	-	-	-	Radical_SAM
NC_003552.1_subset_12	192952.MM_1246	0.0	1132.0	COG1933@1|root,arCOG04447@2157|Archaea,2XU5S@28890|Euryarchaeota,2N91E@224756|Methanomicrobia	224756|Methanomicrobia	L	Possesses two activities a DNA synthesis (polymerase) and an exonucleolytic activity that degrades single-stranded DNA in the 3'- to 5'-direction. Has a template-primer preference which is characteristic of a replicative DNA polymerase	polC	-	2.7.7.7	ko:K02322	ko00230,ko00240,ko01100,ko03030,map00230,map00240,map01100,map03030	M00264	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032	-	-	-	PolC_DP2
NC_013665.1_subset_1	304371.MCP_0509	4.52e-157	443.0	COG1951@1|root,arCOG04407@2157|Archaea,2XUQI@28890|Euryarchaeota,2N9FT@224756|Methanomicrobia	224756|Methanomicrobia	C	Fe-S type, tartrate fumarate subfamily, alpha	fumA	-	4.2.1.2	ko:K01677	ko00020,ko00620,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00620,map00720,map01100,map01110,map01120,map01130,map01200	M00009,M00011,M00173,M00374,M00620	R01082	RC00443	ko00000,ko00001,ko00002,ko01000	-	-	-	Fumerase
NC_013665.1_subset_2	304371.MCP_0510	3.17e-238	656.0	COG0628@1|root,arCOG02642@2157|Archaea,2XXF0@28890|Euryarchaeota,2N9N3@224756|Methanomicrobia	224756|Methanomicrobia	S	Pfam:UPF0118	-	-	-	-	-	-	-	-	-	-	-	-	AI-2E_transport
NC_013665.1_subset_3	304371.MCP_0511	1.05e-294	804.0	COG0621@1|root,arCOG01358@2157|Archaea,2XSVB@28890|Euryarchaeota,2N9GQ@224756|Methanomicrobia	224756|Methanomicrobia	J	SMART Elongator protein 3 MiaB NifB	miaB	-	2.8.4.5	ko:K15865	-	-	R10649	RC00003,RC03221	ko00000,ko01000,ko03016	-	-	-	Radical_SAM,TRAM,UPF0004
NC_013665.1_subset_4	304371.MCP_0512	0.0	865.0	COG4054@1|root,arCOG04860@2157|Archaea,2XTPD@28890|Euryarchaeota,2N9BX@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase, beta subunit	mcrB	-	2.8.4.1	ko:K00401	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_beta,MCR_beta_N
NC_013665.1_subset_5	304371.MCP_0513	2.56e-115	330.0	COG4055@1|root,arCOG04859@2157|Archaea,2XZ5V@28890|Euryarchaeota,2NBJT@224756|Methanomicrobia	224756|Methanomicrobia	H	Methyl-coenzyme M reductase operon protein D	mcrD	-	-	ko:K03422	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_D
NC_013665.1_subset_6	304371.MCP_0514	4.88e-147	414.0	COG4056@1|root,arCOG03225@2157|Archaea,2XW32@28890|Euryarchaeota,2N9IH@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase operon protein C	mcrC	-	-	ko:K03421	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_C
NC_013665.1_subset_7	304371.MCP_0515	8.08e-185	513.0	COG4057@1|root,arCOG04858@2157|Archaea,2XSVR@28890|Euryarchaeota,2N92T@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase gamma subunit	mcrG	-	2.8.4.1	ko:K00402	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_gamma
NC_013665.1_subset_8	304371.MCP_0516	0.0	1119.0	COG4058@1|root,arCOG04857@2157|Archaea,2XTF8@28890|Euryarchaeota,2N90K@224756|Methanomicrobia	224756|Methanomicrobia	H	Reduction of methyl-coenzyme M (2-(methylthio) ethanesulfonic acid) with 7-mercaptoheptanoylthreonine phosphate to methane and a heterodisulfide	mcrA	-	2.8.4.1	ko:K00399	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_alpha,MCR_alpha_N
NC_013665.1_subset_9	304371.MCP_0517	1.62e-120	343.0	COG1898@1|root,arCOG04188@2157|Archaea,2XWJQ@28890|Euryarchaeota,2NASX@224756|Methanomicrobia	224756|Methanomicrobia	M	WxcM-like, C-terminal	-	-	5.1.3.13	ko:K01790	ko00521,ko00523,ko01130,map00521,map00523,map01130	M00793	R06514	RC01531	ko00000,ko00001,ko00002,ko01000	-	-	-	dTDP_sugar_isom
NC_013665.1_subset_10	304371.MCP_0518	5.34e-111	320.0	COG1945@1|root,arCOG04490@2157|Archaea,2XY3V@28890|Euryarchaeota,2N9Q0@224756|Methanomicrobia	224756|Methanomicrobia	E	arginine catabolic process	speA	-	4.1.1.19	ko:K02626	ko00330,ko01100,map00330,map01100	M00133	R00566	RC00299	ko00000,ko00001,ko00002,ko01000	-	-	iAF692.Mbar_A2039	PvlArgDC
NC_013665.1_subset_11	304371.MCP_0519	4.63e-119	340.0	COG1342@1|root,arCOG02238@2157|Archaea,2Y128@28890|Euryarchaeota,2NAQH@224756|Methanomicrobia	224756|Methanomicrobia	S	Protein of unknown function  DUF134	-	-	-	ko:K06933	-	-	-	-	ko00000	-	-	-	DUF134
NC_013665.1_subset_12	304371.MCP_0520	2.59e-89	261.0	COG1433@1|root,arCOG02734@2157|Archaea	2157|Archaea	Q	PFAM Dinitrogenase iron-molybdenum cofactor	-	-	-	-	-	-	-	-	-	-	-	-	Nitro_FeMo-Co
NC_013665.1_subset_13	304371.MCP_0521	8.76e-202	559.0	COG0489@1|root,arCOG00585@2157|Archaea,2XTU2@28890|Euryarchaeota,2N9IC@224756|Methanomicrobia	224756|Methanomicrobia	D	Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP	-	-	-	ko:K03593	-	-	-	-	ko00000,ko03029,ko03036	-	-	-	ParA
NC_013665.1_subset_14	304371.MCP_0522	0.0	1043.0	COG1123@1|root,arCOG00185@2157|Archaea,2Y7KQ@28890|Euryarchaeota,2N960@224756|Methanomicrobia	224756|Methanomicrobia	E	PFAM ABC transporter	atw-1	-	-	ko:K00400	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	ABC_tran
NC_013665.1_subset_15	304371.MCP_0523	7.29e-269	734.0	COG3261@1|root,arCOG01547@2157|Archaea,2Y7K6@28890|Euryarchaeota,2N9F7@224756|Methanomicrobia	224756|Methanomicrobia	C	PFAM NADH-ubiquinone oxidoreductase, chain 49kDa	echE	-	-	ko:K14090	-	-	-	-	ko00000	-	-	-	Complex1_49kDa,NiFeSe_Hases
NC_013665.1_subset_16	304371.MCP_0524	2.78e-218	602.0	COG2267@1|root,arCOG01650@2157|Archaea,2XYG5@28890|Euryarchaeota	28890|Euryarchaeota	I	Serine aminopeptidase, S33	-	-	-	-	-	-	-	-	-	-	-	-	Hydrolase_4
NC_013665.1_subset_17	304371.MCP_0525	4.94e-75	224.0	COG1433@1|root,arCOG02734@2157|Archaea,2XZWT@28890|Euryarchaeota,2N9ZY@224756|Methanomicrobia	224756|Methanomicrobia	S	Dinitrogenase iron-molybdenum cofactor biosynthesis	-	-	-	-	-	-	-	-	-	-	-	-	Nitro_FeMo-Co
NC_008553.1_subset_1	1123274.KB899423_gene1641	4.42e-71	228.0	COG1237@1|root,COG1237@2|Bacteria	2|Bacteria	S	Metallo-beta-lactamase superfamily	dhpS	-	2.5.1.105	ko:K06897	ko00790,map00790	-	R10339	RC00121	ko00000,ko00001,ko01000	-	-	-	Lactamase_B
