MAGs	seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
336R_concoct_63	336R_concoct_63_723	1998	No terminal repeats	NA	1	11	0.8033	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales
336R_metabat_264	336R_metabat_264_65|provirus_3_12692	12690	Provirus	3-12692	19	11	0.9015	NA	5	7.0319	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabat_339_sub	336R_metabat_339_sub_283	2522	No terminal repeats	NA	3	11	0.8226	NA	1	3.1013	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabat_67	336R_metabat_67_53|provirus_69681_102163	32483	Provirus	69681-102163	44	11	0.9808	NA	3	18.7702	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_177_sub	336R_metabinner_177_sub_7	11187	No terminal repeats	NA	15	11	0.965	NA	2	17.0424	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_177_sub	336R_metabinner_177_sub_155	15220	No terminal repeats	NA	20	11	0.9356	NA	1	16.3807	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_177_sub	336R_metabinner_177_sub_406	23131	No terminal repeats	NA	27	11	0.9231	NA	7	14.5402	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_177_sub	336R_metabinner_177_sub_48	4069	No terminal repeats	NA	5	11	0.8194	NA	2	8.2113	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_21	336R_metabinner_21_11	13019	No terminal repeats	NA	18	11	0.9735	NA	1	9.6897	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_21	336R_metabinner_21_23	7389	No terminal repeats	NA	13	11	0.9514	NA	1	5.7465	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_29_sub	336R_metabinner_29_sub_80	14156	No terminal repeats	NA	15	11	0.971	NA	2	4.7715	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_29_sub	336R_metabinner_29_sub_535	3548	No terminal repeats	NA	5	11	0.9649	NA	1	4.1415	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_29_sub	336R_metabinner_29_sub_163	3379	No terminal repeats	NA	2	11	0.9642	NA	1	3.3992	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_29_sub	336R_metabinner_29_sub_256	3317	No terminal repeats	NA	3	11	0.8531	NA	1	1.6609	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_39	336R_metabinner_39_356	6570	No terminal repeats	NA	5	11	0.8596	NA	2	5.1519	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_45_sub	336R_metabinner_45_sub_205	29110	No terminal repeats	NA	52	11	0.9721	NA	3	23.815	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_45_sub	336R_metabinner_45_sub_301	8142	No terminal repeats	NA	6	11	0.9606	NA	3	5.6011	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_45_sub	336R_metabinner_45_sub_43	15105	No terminal repeats	NA	19	11	0.9093	NA	2	8.0453	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_45_sub	336R_metabinner_45_sub_106	7498	No terminal repeats	NA	13	11	0.8407	NA	2	7.1167	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_51	336R_metabinner_51_403	13398	No terminal repeats	NA	22	11	0.9643	NA	3	9.179	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_61	336R_metabinner_61_453	5157	No terminal repeats	NA	7	11	0.9704	NA	1	4.6053	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_61	336R_metabinner_61_145	3530	No terminal repeats	NA	2	11	0.8753	NA	1	3.4343	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_68	336R_metabinner_68_565	2734	No terminal repeats	NA	3	11	0.9634	NA	2	4.2268	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_68	336R_metabinner_68_867	2122	No terminal repeats	NA	6	11	0.9577	NA	1	3.6253	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_68	336R_metabinner_68_530	2958	No terminal repeats	NA	3	11	0.9493	NA	1	3.174	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_68	336R_metabinner_68_32	7538	No terminal repeats	NA	10	11	0.9434	NA	2	4.0837	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_68	336R_metabinner_68_399	34702	DTR	NA	34	11	0.8842	NA	2	12.9134	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_68	336R_metabinner_68_315	4170	No terminal repeats	NA	6	11	0.8836	NA	3	4.7099	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_68	336R_metabinner_68_800	2764	No terminal repeats	NA	3	11	0.8317	NA	2	3.1507	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_68	336R_metabinner_68_532	3181	No terminal repeats	NA	6	11	0.8265	NA	2	2.5917	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_76_sub	336R_metabinner_76_sub_1140	4805	No terminal repeats	NA	16	11	0.978	NA	1	10.1786	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_metabinner_8	336R_metabinner_8_153|provirus_25200_36498	11299	Provirus	25200-36498	14	11	0.9072	NA	2	7.7007	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
337R_concoct_5_sub	337R_concoct_5_sub_472	4155	No terminal repeats	NA	8	11	0.9765	NA	4	9.6952	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
337R_concoct_5_sub	337R_concoct_5_sub_109	1574	No terminal repeats	NA	2	11	0.8529	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
337R_metabinner_13	337R_metabinner_13_197|provirus_3288_16207	12920	Provirus	3288-16207	16	11	0.9814	NA	3	17.8555	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
337R_metabinner_13	337R_metabinner_13_192	12762	No terminal repeats	NA	22	11	0.9787	NA	6	19.3225	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
337R_metabinner_13	337R_metabinner_13_80	7445	No terminal repeats	NA	10	11	0.9784	NA	3	8.5752	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
337R_metabinner_19	337R_metabinner_19_314	2449	No terminal repeats	NA	3	11	0.9111	NA	1	2.788	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
337R_metabinner_26_sub	337R_metabinner_26_sub_30	15325	No terminal repeats	NA	23	11	0.8385	NA	9	18.9966	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
337R_metabinner_52	337R_metabinner_52_23	2526	No terminal repeats	NA	5	11	0.9473	NA	1	3.4323	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
337R_metabinner_52	337R_metabinner_52_341	3270	No terminal repeats	NA	4	11	0.9269	NA	1	2.3214	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
337R_metabinner_52	337R_metabinner_52_455	2752	No terminal repeats	NA	4	11	0.9159	NA	1	5.1501	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
337R_metabinner_52	337R_metabinner_52_762	9048	No terminal repeats	NA	13	11	0.8032	NA	1	4.7441	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
337R_metabinner_9	337R_metabinner_9_123	24493	No terminal repeats	NA	26	11	0.9787	NA	8	26.7029	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
337R_metabinner_9	337R_metabinner_9_283	33075	No terminal repeats	NA	49	11	0.9653	NA	15	46.3015	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
337R_metabinner_9	337R_metabinner_9_58|provirus_3_34234	34232	Provirus	3-34234	44	11	0.9408	NA	19	32.687	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
337R_metabinner_9	337R_metabinner_9_41	11686	No terminal repeats	NA	9	11	0.9286	NA	3	8.5743	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
337R_metabinner_9	337R_metabinner_9_0	47204	No terminal repeats	NA	56	11	0.918	NA	18	37.1394	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
337R_metabinner_9	337R_metabinner_9_180	50672	No terminal repeats	NA	48	11	0.8766	NA	4	33.6593	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes
337R_metabinner_9	337R_metabinner_9_306	69495	No terminal repeats	NA	80	11	0.8139	NA	1	17.4999	Viruses
338R_concoct_148	338R_concoct_148_337	2373	No terminal repeats	NA	4	11	0.9526	NA	1	3.6261	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_148	338R_concoct_148_332	1893	No terminal repeats	NA	2	11	0.8894	NA	1	1.6407	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_148	338R_concoct_148_109	47735	No terminal repeats	NA	56	11	0.8618	NA	5	22.9265	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_206	338R_concoct_206_144	1700	No terminal repeats	NA	4	11	0.8425	NA	1	2.796	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_206	338R_concoct_206_49	1835	No terminal repeats	NA	1	11	0.8174	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_295	3758	No terminal repeats	NA	6	11	0.9829	NA	3	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_518	5032	No terminal repeats	NA	7	11	0.9819	NA	1	7.5765	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_482	5123	No terminal repeats	NA	7	11	0.9809	NA	4	8.8572	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_557	4584	No terminal repeats	NA	8	11	0.9804	NA	3	10.2783	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_424	6165	No terminal repeats	NA	9	11	0.9802	NA	3	13.1174	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_575	4054	No terminal repeats	NA	4	11	0.9794	NA	3	5.1461	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_13	2894	No terminal repeats	NA	4	11	0.979	NA	2	5.0311	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_663	3950	No terminal repeats	NA	5	11	0.9773	NA	2	4.5824	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_105	4364	No terminal repeats	NA	7	11	0.9764	NA	1	7.4479	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_797	3485	No terminal repeats	NA	7	11	0.9729	NA	2	6.8638	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_187	1553	No terminal repeats	NA	2	11	0.9696	NA	2	2.9453	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_60	2619	No terminal repeats	NA	5	11	0.9694	NA	3	4.7368	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_350	1661	No terminal repeats	NA	4	11	0.9664	NA	1	5.1338	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_765	1566	No terminal repeats	NA	2	11	0.9663	NA	1	3.0369	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_621	2066	No terminal repeats	NA	3	11	0.9661	NA	2	4.2625	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_304	3725	No terminal repeats	NA	8	11	0.9621	NA	1	8.2758	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_718	4378	No terminal repeats	NA	9	11	0.9546	NA	2	4.0628	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_460	2734	No terminal repeats	NA	4	11	0.9487	NA	3	3.9952	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_155	5829	No terminal repeats	NA	7	11	0.9406	NA	2	3.594	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_27	4107	No terminal repeats	NA	10	11	0.9343	NA	1	8.301	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_53	2397	No terminal repeats	NA	2	11	0.9285	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_425	1573	No terminal repeats	NA	1	11	0.9234	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_227	338R_concoct_227_113	2768	No terminal repeats	NA	7	11	0.8805	NA	2	2.7525	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_41_sub	338R_concoct_41_sub_76	6877	No terminal repeats	NA	4	15	0.9827	NA	2	6.3879	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_41_sub	338R_concoct_41_sub_438	37210	No terminal repeats	NA	37	11	0.9783	NA	3	41.8647	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_41_sub	338R_concoct_41_sub_441	31289	No terminal repeats	NA	41	11	0.9754	NA	10	36.0402	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_41_sub	338R_concoct_41_sub_337	1651	No terminal repeats	NA	3	11	0.846	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_51_sub	338R_concoct_51_sub_201	1552	No terminal repeats	NA	2	11	0.8985	NA	1	2.7979	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_65	338R_concoct_65_320	4806	No terminal repeats	NA	6	11	0.8979	NA	1	2.5134	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_82	338R_concoct_82_213	3017	No terminal repeats	NA	4	11	0.9637	NA	2	6.4868	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_82	338R_concoct_82_540	8449	No terminal repeats	NA	12	11	0.9616	NA	2	14.2064	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_82	338R_concoct_82_524	4022	No terminal repeats	NA	4	11	0.9554	NA	1	6.2979	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_82	338R_concoct_82_568	4434	No terminal repeats	NA	6	11	0.9502	NA	2	8.2131	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_82	338R_concoct_82_35	4771	No terminal repeats	NA	8	11	0.9426	NA	1	3.9689	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_82	338R_concoct_82_833	3930	No terminal repeats	NA	4	11	0.9362	NA	1	4.8019	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_82	338R_concoct_82_282	7668	No terminal repeats	NA	13	11	0.9285	NA	3	10.4016	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_82	338R_concoct_82_93	8090	No terminal repeats	NA	10	11	0.9114	NA	4	6.6648	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_82	338R_concoct_82_13|provirus_185_14548	14364	Provirus	185-14548	17	11	0.9074	NA	5	17.3848	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_82	338R_concoct_82_796	3019	No terminal repeats	NA	6	11	0.9003	NA	1	3.1456	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_82	338R_concoct_82_318	10062	No terminal repeats	NA	14	11	0.8474	NA	4	7.011	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_concoct_94	338R_concoct_94_601|provirus_105_8408	8304	Provirus	105-8408	10	11	0.982	NA	4	9.5382	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_metabinner_10	338R_metabinner_10_1|provirus_55362_85967	30606	Provirus	55362-85967	34	11	0.9326	NA	10	39.1954	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_metabinner_17	338R_metabinner_17_37|provirus_14016_50542	36527	Provirus	14016-50542	50	11	0.9678	NA	14	53.3221	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_metabinner_18	338R_metabinner_18_214	7106	No terminal repeats	NA	11	11	0.9495	NA	6	17.252	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_metabinner_2	338R_metabinner_2_16|provirus_17041_49960	32920	Provirus	17041-49960	44	11	0.8213	NA	2	29.0031	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
338R_metabinner_30	338R_metabinner_30_269	4340	No terminal repeats	NA	2	11	0.8691	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales
338R_metabinner_33_sub	338R_metabinner_33_sub_190	3331	No terminal repeats	NA	4	11	0.9414	NA	1	3.952	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
